HIP,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
14614,2453702.68261142,-27.1602363299525,0.0004228755913986,900.0011,7.0330410595682,-0.0213739256346948,HARPS-B,171.2
14614,2453705.67085846,-27.1578447165705,0.000475646885763,899.999,7.03159766910824,-0.0237639342279081,HARPS-B,152.7
14614,2453706.68133126,-27.1559319848131,0.0004310520265736,900.0016,7.03251671202605,-0.0230768333115456,HARPS-B,168.4
14614,2453707.66940741,-27.156730424193,0.000457245964014,900.0019,7.03466298049693,-0.0208892220461649,HARPS-B,158.9
14614,2453710.66854378,-27.1597808070862,0.0005420818263792,900.0015,7.03534318575322,-0.0175045765479247,HARPS-B,135.3
14614,2455850.81981559,-27.1396699466791,0.0007380283707373,900.0056,7.04038991712542,-0.0247608035113807,HARPS-B,94.7
14614,2455851.80852642,-27.1439325819721,0.0007276979667632,900.006,7.03798663968616,-0.0235929650148812,HARPS-B,96.1
14614,2455852.80745607,-27.1422193039652,0.0009163315987706,900.0056,7.04204089221415,-0.0306060364823573,HARPS-B,77.4
14614,2456299.55557422,-27.1400727007314,0.0007621424114111,900.0013,7.04889646583815,-0.0243440831006083,HARPS-B,92.0
14614,2456301.58410304,-27.1413842995503,0.0006420659152451,900.0013,7.04195899145468,-0.0238546842766212,HARPS-B,108.2
14614,2456558.88091942,-27.1258930675279,0.0005856851307067,900.0009,7.05925908181129,-0.0206026434600943,HARPS-B,121.4
14614,2456559.88486972,-27.1251365423434,0.0005931477747943,900.0008,7.05678375123342,-0.020334153066301,HARPS-B,118.5
14614,2456560.86400231,-27.1269840852339,0.0006226120111059,900.0005,7.05512395855118,-0.02059129088871,HARPS-B,112.4
14614,2456637.63666056,-27.1246826356006,0.0007271675784412,900.001,7.05219704472532,-0.0246388983755921,HARPS-B,96.7
14614,2456638.64062477,-27.1224545678705,0.0006556571083107,900.0003,7.05200793309874,-0.0225750305839547,HARPS-B,108.4
14614,2456639.623952,-27.1223452539047,0.0006630903341286,900.0,7.05137719448322,-0.0240333158339645,HARPS-B,106.5
14614,2456708.53863762,-27.1210775556706,0.0008574021029274,900.002,7.04883812401207,-0.025565841865955,HARPS-B,81.4
14614,2456709.55505401,-27.1214191628312,0.0009506007025136,900.0017,7.05337646932596,-0.0202024620957779,HARPS-B,75.3
14614,2456710.54752637,-27.1236460369855,0.0009873123596034,900.0004,7.05482369819454,-0.0217875211848586,HARPS-B,72.6
14614,2456711.54702393,-27.1226758143702,0.0009027929446578,900.0005,7.05294141266519,-0.0225970575462959,HARPS-B,77.3
14614,2456906.83000301,-27.1167815145985,0.0010692540113051,900.0015,7.05693076861736,-0.0196409374325874,HARPS-B,67.0
14614,2456907.84234973,-27.1201776428084,0.0007290258491152,900.0004,7.05111977129131,-0.0185633683173378,HARPS-B,96.3
14614,2456960.7407164,-27.1153030084538,0.0005756776009943,900.0019,7.05545829602512,-0.0224337239404342,HARPS-B,121.7
14614,2456961.732761,-27.1176962688904,0.0006392336737402,900.0021,7.05634921517265,-0.0209348865226779,HARPS-B,109.5
14614,2456963.73029446,-27.1195885916403,0.0006339372886555,900.0021,7.05442520370971,-0.0198538058839048,HARPS-B,110.8
14614,2456965.72275161,-27.1221345590127,0.0004954665384513,900.0015,7.0513790613287,-0.021391425546188,HARPS-B,141.5
14614,2456966.77014712,-27.1224911766589,0.0008122205275086,900.0013,7.0561632802707,-0.02205228585089,HARPS-B,87.1
14614,2457026.55920024,-27.1160813372986,0.0006390153999258,900.0001,7.05826448781148,-0.0208133148833411,HARPS-B,110.9
