time,mnvel,errvel,tel,svalue
2453702.68261142,-27160.2363299525,0.4228755913986,HARPS-B,nodata
2453705.67085846,-27157.8447165705,0.4756468857629999,HARPS-B,nodata
2453706.68133126,-27155.9319848131,0.4310520265736,HARPS-B,nodata
2453707.66940741,-27156.730424193,0.457245964014,HARPS-B,nodata
2453710.66854378,-27159.7808070862,0.5420818263792,HARPS-B,nodata
2455850.81981559,-27139.6699466791,0.7380283707373,HARPS-B,nodata
2455851.80852642,-27143.932581972094,0.7276979667632,HARPS-B,nodata
2455852.80745607,-27142.2193039652,0.9163315987706,HARPS-B,nodata
2456299.55557422,-27140.0727007314,0.7621424114111,HARPS-B,nodata
2456301.58410304,-27141.3842995503,0.6420659152451,HARPS-B,nodata
2456558.88091942,-27125.8930675279,0.5856851307067,HARPS-B,nodata
2456559.88486972,-27125.1365423434,0.5931477747943,HARPS-B,nodata
2456560.86400231,-27126.9840852339,0.6226120111059,HARPS-B,nodata
2456637.63666056,-27124.6826356006,0.7271675784412001,HARPS-B,nodata
2456638.64062477,-27122.4545678705,0.6556571083107,HARPS-B,nodata
2456639.623952,-27122.3452539047,0.6630903341286,HARPS-B,nodata
2456708.53863762,-27121.0775556706,0.8574021029273999,HARPS-B,nodata
2456709.55505401,-27121.4191628312,0.9506007025136,HARPS-B,nodata
2456710.54752637,-27123.6460369855,0.9873123596034,HARPS-B,nodata
2456711.54702393,-27122.6758143702,0.9027929446578,HARPS-B,nodata
2456906.83000301,-27116.7815145985,1.0692540113051,HARPS-B,nodata
2456907.84234973,-27120.1776428084,0.7290258491152001,HARPS-B,nodata
2456960.7407164,-27115.3030084538,0.5756776009943,HARPS-B,nodata
2456961.732761,-27117.6962688904,0.6392336737402,HARPS-B,nodata
2456963.73029446,-27119.588591640302,0.6339372886555,HARPS-B,nodata
2456965.72275161,-27122.1345590127,0.4954665384513,HARPS-B,nodata
2456966.77014712,-27122.4911766589,0.8122205275086,HARPS-B,nodata
2457026.55920024,-27116.0813372986,0.6390153999258,HARPS-B,nodata
2457229.92911995,-27136.40221683537,0.5985259927328463,HARPS-A,nodata
2457232.9231651,-27136.71251511167,0.9165308856051463,HARPS-A,nodata
2457282.86293297,-27134.26342893387,0.7096594749238463,HARPS-A,nodata
2457283.87748132,-27135.39246016277,0.6341955500372463,HARPS-A,nodata
2457763.60468604,-27130.43243522407,0.6583966284777464,HARPS-A,nodata
2458045.76811799,-27125.78745099017,0.6721933538539463,HARPS-A,nodata
2458047.73206644,-27122.10247204547,0.6241149878545463,HARPS-A,nodata
