bjd,rv,rverr,exptime,fwhm,bis,tel
2457226.91228373,14.5805425372292,0.000672760623492437,899.9984,6.80838917815562,-0.0178209784398788,HARPS-A
2457228.86980569,14.584105034025098,0.0006084718475383611,899.9984,6.808358122086519,-0.0147774969617238,HARPS-A
2457230.90121069,14.5814824253684,0.000571148999280215,899.9983,6.80542047201821,-0.0168001177507584,HARPS-A
2457232.88470616,14.583440309913799,0.0009285460257276609,899.9983,6.80515241023343,-0.0142834752484369,HARPS-A
2457282.88997859,14.585086646819901,0.000897192563021757,899.9983,6.811195562473941,-0.0156635332449273,HARPS-A
2457283.82958176,14.5865187666433,0.000590298844383537,899.9983,6.808905835965309,-0.0155566213207621,HARPS-A
2457587.91413944,14.5735481048484,0.000922098061342409,899.9983,6.80340230144315,-0.0201487891573269,HARPS-A
2457664.87336284,14.572931877279501,0.000783382090288137,899.9983,6.802345182581369,-0.0201720481245715,HARPS-A
2457763.64323698,14.5712348691081,0.000710889818619303,899.9982,6.80709576953784,-0.0198978626292377,HARPS-A
2457764.60278601,14.5687868535903,0.000643358447963405,899.9982,6.80129774039713,-0.0176483781160233,HARPS-A
2458045.72093149,14.5649055194534,0.000814829715835375,899.9983,6.802998256449389,-0.0209906459986673,HARPS-A
2458046.68163967,14.5666376944162,0.0007368144893217,1199.9982,6.79853785582344,-0.0190775821755143,HARPS-A
2458046.73636197,14.5674975011231,0.000804074583017429,1199.9983,6.79465283833118,-0.0185668917982973,HARPS-A
2458084.74773198,14.561048006828699,0.000612771054049079,1199.9982,6.8028606457465495,-0.0220754719660299,HARPS-A
2458143.58068409,14.563319649304301,0.000617106220184833,1199.9982,6.796040067086429,-0.0185172423294269,HARPS-A
2458382.9080459,14.5661842544149,0.000734331239470385,899.9982,6.80592851856894,-0.0227021713637559,HARPS-A
2458409.66403289,14.5652151060738,0.000614013775791991,899.9982,6.80342018932127,-0.0208304538415405,HARPS-A
2458412.74206161,14.5678405157238,0.000972318434152838,899.9982,6.79664059133715,-0.0260026087023046,HARPS-A
2458413.69807979,14.5675801770367,0.000879902411303631,899.9982,6.79924533265175,-0.0210830801408441,HARPS-A
2458438.63573283,14.5688677952964,0.0009180460744589279,899.9982,6.8005904264133,-0.0185788222373873,HARPS-A
2458440.6095242,14.568950858833801,0.00056060037318145,899.9982,6.807283101756441,-0.0195671994905702,HARPS-A
2458468.59968298,14.5707641295488,0.000749113871651746,899.9982,6.82055771296548,-0.0151647925470577,HARPS-A
2458469.65973569,14.5686069609711,0.000635106722959944,899.9982,6.81996346681518,-0.0189316043681984,HARPS-A
2458504.56873428,14.5658484738741,0.000684676376004552,899.9982,6.8162128852153,-0.0187511859021399,HARPS-A
2458505.56742269,14.5686300722649,0.000708188083420617,899.9982,6.81235445910994,-0.0195283754365221,HARPS-A
2458784.67735527,14.571197186680699,0.0011238663152906801,899.9979,6.82577049028049,-0.0186585854788888,HARPS-A
2458792.7494433,14.5741090784603,0.00069871856375446,899.9979,6.8384209767207,-0.0221484009249782,HARPS-A
2458842.70052585,14.572314630521099,0.0007768681985786441,899.9978,6.844778674938491,-0.0223592948333451,HARPS-A
2458846.6626712,14.5703237349351,0.000718034012359162,899.9978,6.845480548005621,-0.0191118743940599,HARPS-A
