time,mnvel,errvel,tel,svalue
2452941.7219,14576.6,3.0,HARPS-B,\nodata
2453271.8214,14562.2,3.8,HARPS-B,\nodata
2453312.6877,14572.2,1.7,HARPS-B,\nodata
2453987.7974,14561.0,2.1,HARPS-B,\nodata
2454438.6089,14557.1,1.9,HARPS-B,\nodata
2454752.7519,14552.9,1.5,HARPS-B,\nodata
2454764.7361,14550.7,1.6,HARPS-B,\nodata
2455217.5801,14553.7,2.3,HARPS-B,\nodata
2455543.601,14563.3,1.5,HARPS-B,\nodata
2455846.802,14569.2,1.1,HARPS-B,\nodata
2455850.7947,14569.8,0.9,HARPS-B,\nodata
2455851.7841,14569.7,0.8,HARPS-B,\nodata
2455852.7779,14569.7,1.0,HARPS-B,\nodata
2456152.8532,14566.0,2.0,HARPS-B,\nodata
2456164.9273,14571.6,0.9,HARPS-B,\nodata
2456165.9242,14572.1,0.9,HARPS-B,\nodata
2456299.6151,14574.9,1.2,HARPS-B,\nodata
2456300.5833,14575.0,0.6,HARPS-B,\nodata
2456486.9106,14577.4,0.7,HARPS-B,\nodata
2456487.8968,14577.8,0.7,HARPS-B,\nodata
2456488.9425,14574.9,0.8,HARPS-B,\nodata
2456489.9048,14577.3,0.8,HARPS-B,\nodata
2456490.8972,14575.3,0.7,HARPS-B,\nodata
2456502.9393,14579.6,2.3,HARPS-B,\nodata
2456557.9085,14574.0,2.0,HARPS-B,\nodata
2456558.8337,14579.3,0.7,HARPS-B,\nodata
2456559.85,14581.9,0.7,HARPS-B,\nodata
2456560.8411,14583.1,0.7,HARPS-B,\nodata
2456589.8019,14579.0,1.0,HARPS-B,\nodata
2456615.6781,14579.8,2.4,HARPS-B,\nodata
2456637.6474,14578.9,0.7,HARPS-B,\nodata
2456638.6662,14581.5,0.8,HARPS-B,\nodata
2456639.6356,14580.2,0.8,HARPS-B,\nodata
2456640.6347,14578.3,0.8,HARPS-B,\nodata
2456641.6456,14578.6,0.7,HARPS-B,\nodata
2456643.6517,14577.8,1.0,HARPS-B,\nodata
2456708.501,14576.4,0.9,HARPS-B,\nodata
2456709.531,14579.5,0.8,HARPS-B,\nodata
2456710.5234,14579.8,0.9,HARPS-B,\nodata
2456711.5226,14579.6,0.7,HARPS-B,\nodata
2456851.922,14580.7,0.9,HARPS-B,\nodata
2456852.8915,14582.3,1.2,HARPS-B,\nodata
2456855.8977,14576.0,1.1,HARPS-B,\nodata
2456856.8881,14578.3,1.0,HARPS-B,\nodata
2456904.8198,14582.5,1.0,HARPS-B,\nodata
2456906.7954,14581.2,1.0,HARPS-B,\nodata
2456907.8079,14578.5,0.9,HARPS-B,\nodata
2456960.7641,14575.0,0.7,HARPS-B,\nodata
2456961.72,14572.6,0.7,HARPS-B,\nodata
2456963.7068,14572.2,0.7,HARPS-B,\nodata
2456964.784,14573.7,0.7,HARPS-B,\nodata
2456965.6863,14574.3,0.6,HARPS-B,\nodata
2456966.7461,14575.7,0.9,HARPS-B,\nodata
2455846.80196421,14569.1836715776,1.07249301606569,HARPS-B,\nodata
2455850.79474999,14569.8340285916,0.9343507364704812,HARPS-B,\nodata
2455851.78406262,14569.6535382426,0.81829288420568,HARPS-B,\nodata
2455852.77789932,14569.7402123276,1.03925236041616,HARPS-B,\nodata
2456164.92727267,14574.410279147198,0.893583894111057,HARPS-B,\nodata
2456165.92419207,14574.6822344509,0.897436880996122,HARPS-B,\nodata
2456299.61514282,14565.5251012604,1.24654769556792,HARPS-B,\nodata
2456300.58329138,14565.8600330117,0.633130697768416,HARPS-B,\nodata
2456486.91058073,14568.6926210204,0.735137367145113,HARPS-B,\nodata
2456487.89677231,14569.3028646354,0.724590114540158,HARPS-B,\nodata
2456488.94252911,14566.4351106245,0.771145442506872,HARPS-B,\nodata
2456489.90484171,14577.2500835114,0.786803638941282,HARPS-B,\nodata
2456490.89722632,14575.2808332838,0.735868951114929,HARPS-B,\nodata
2456557.90847016,14574.014269924,1.95280735151384,HARPS-B,\nodata
2456558.83370307,14579.2681849471,0.658027471241535,HARPS-B,\nodata
2456559.85001469,14581.8593071161,0.743224953467056,HARPS-B,\nodata
2456560.84109262,14583.1469110174,0.664311834880403,HARPS-B,\nodata
2456637.64741404,14578.8532087241,0.6848542949813531,HARPS-B,\nodata
2456638.66620081,14581.4626388941,0.814124795492788,HARPS-B,\nodata
2456639.6355571,14580.184991829,0.767204911348689,HARPS-B,\nodata
2456640.63465589,14578.2877855951,0.7859950027780379,HARPS-B,\nodata
2456641.6455701,14578.6066534622,0.700831043111733,HARPS-B,\nodata
2456643.65166789,14577.789625855805,0.950371271191712,HARPS-B,\nodata
2456708.50100639,14576.4108750088,0.8819519407564971,HARPS-B,\nodata
2456709.53102533,14579.4614570243,0.817480444339781,HARPS-B,\nodata
2456710.52336259,14579.7578184374,0.886058413998847,HARPS-B,\nodata
2456711.52257518,14579.5950365508,0.744472768579842,HARPS-B,\nodata
2456851.92196097,14580.713053276697,0.8619880805093161,HARPS-B,\nodata
2456852.89147287,14582.3480041257,1.15271820641226,HARPS-B,\nodata
2456855.89772579,14575.9680030234,1.14866306360483,HARPS-B,\nodata
2456856.88807326,14578.2855318031,0.950490782805952,HARPS-B,\nodata
2456904.819817,14582.4899124065,0.9874228738741267,HARPS-B,\nodata
2456906.79539654,14581.233942589997,1.0044779122266,HARPS-B,\nodata
2456907.8079085,14578.5020638313,0.894549559465387,HARPS-B,\nodata
2456960.76410488,14574.9595695982,0.702606982179555,HARPS-B,\nodata
2456961.72639,14572.6474561275,0.6711643621501469,HARPS-B,\nodata
2456963.70679264,14572.1870098279,0.6744113136476049,HARPS-B,\nodata
2456964.78400733,14573.6946150621,0.712851493159566,HARPS-B,\nodata
2456965.68627015,14574.251565694,0.595016110718095,HARPS-B,\nodata
2456966.74612107,14575.6594816471,0.851882401058204,HARPS-B,\nodata
2457025.5721,14565.233024005202,0.9,HARPS-B,\nodata
2457026.6043,14564.233024005202,0.7,HARPS-B,\nodata
2457027.596,14562.433024005202,0.8,HARPS-B,\nodata
2457025.57210197,14565.200496430902,0.913505723816282,HARPS-B,\nodata
2457026.60432097,14564.185124519401,0.705282400300149,HARPS-B,\nodata
2457027.59603363,14562.438840296001,0.790020471926303,HARPS-B,\nodata
2457226.91228373,14570.2755612344,0.672760623492437,HARPS-A,\nodata
2457228.86980569,14573.838058030298,0.6084718475383613,HARPS-A,\nodata
2457230.90121069,14571.215449373602,0.571148999280215,HARPS-A,\nodata
2457232.88470616,14573.173333919001,0.9285460257276608,HARPS-A,\nodata
2457282.88997859,14574.819670825102,0.897192563021757,HARPS-A,\nodata
2457283.82958176,14576.2517906485,0.590298844383537,HARPS-A,\nodata
2457587.91413944,14563.281128853601,0.922098061342409,HARPS-A,\nodata
2457664.87336284,14562.664901284701,0.783382090288137,HARPS-A,\nodata
2457763.64323698,14560.967893113302,0.710889818619303,HARPS-A,\nodata
2457764.60278601,14558.519877595501,0.643358447963405,HARPS-A,\nodata
2458045.72093149,14554.6385434586,0.814829715835375,HARPS-A,\nodata
2458046.68163967,14556.370718421402,0.7368144893217,HARPS-A,\nodata
2458046.73636197,14557.230525128301,0.804074583017429,HARPS-A,\nodata
2458084.74773198,14550.781030833901,0.612771054049079,HARPS-A,\nodata
2458143.58068409,14553.052673309501,0.617106220184833,HARPS-A,\nodata
2458382.9080459,14555.917278420102,0.734331239470385,HARPS-A,\nodata
2458409.66403289,14554.948130079001,0.614013775791991,HARPS-A,\nodata
2458412.74206161,14557.573539729001,0.972318434152838,HARPS-A,\nodata
2458413.69807979,14557.313201041901,0.879902411303631,HARPS-A,\nodata
2458438.63573283,14558.600819301602,0.918046074458928,HARPS-A,\nodata
2458440.6095242,14558.683882839001,0.56060037318145,HARPS-A,\nodata
2458468.59968298,14560.497153554,0.749113871651746,HARPS-A,\nodata
2458469.65973569,14558.339984976301,0.635106722959944,HARPS-A,\nodata
2458504.56873428,14555.581497879302,0.684676376004552,HARPS-A,\nodata
