bjd,rv,rverr,exptime,fwhm,bis,tel
2455846.80196421,14.5691836715776,0.0010724930160656901,900.0053,6.78711660134874,-0.0326862981454781,HARPS-B
2455850.79474999,14.569834028591599,0.0009343507364704811,900.0058,6.78908144537636,-0.0328200778422278,HARPS-B
2455851.78406262,14.5696535382426,0.00081829288420568,900.0058,6.78169167368525,-0.0285081017119211,HARPS-B
2455852.77789932,14.5697402123276,0.0010392523604161599,900.0058,6.78609844840132,-0.0328107938399889,HARPS-B
2456164.92727267,14.574410279147198,0.000893583894111057,900.0002,6.782521631656739,-0.0319293966446654,HARPS-B
2456165.92419207,14.5746822344509,0.000897436880996122,900.0004,6.78003463939852,-0.0316665551982727,HARPS-B
2456299.61514282,14.5655251012604,0.0012465476955679199,900.001,6.792642058535559,-0.0356407807014296,HARPS-B
2456300.58329138,14.565860033011699,0.000633130697768416,900.0014,6.785582660265581,-0.0300130655187498,HARPS-B
2456486.91058073,14.5686926210204,0.000735137367145113,900.0014,6.79024561876439,-0.0316027889918651,HARPS-B
2456487.89677231,14.5693028646354,0.000724590114540158,900.0003,6.7919439556077,-0.0332484058362965,HARPS-B
2456488.94252911,14.5664351106245,0.000771145442506872,900.0,6.78588269983068,-0.0313406744557732,HARPS-B
2456489.90484171,14.5772500835114,0.000786803638941282,900.0009,6.78615287545774,-0.026588134460102004,HARPS-B
2456490.89722632,14.5752808332838,0.000735868951114929,899.9943,6.78560077563687,-0.0333626832915801,HARPS-B
2456557.90847016,14.574014269924,0.00195280735151384,900.0013,6.80839379458428,-0.0326472985692838,HARPS-B
2456558.83370307,14.5792681849471,0.000658027471241535,899.9939,6.7940125110335,-0.0302720652117774,HARPS-B
2456559.85001469,14.581859307116101,0.000743224953467056,900.0017,6.7944544609953095,-0.0280267225014583,HARPS-B
2456560.84109262,14.583146911017401,0.000664311834880403,899.9941,6.794624847342599,-0.030223975920185,HARPS-B
2456637.64741404,14.5788532087241,0.0006848542949813531,900.0006,6.7903820432135795,-0.0255537460342659,HARPS-B
2456638.66620081,14.5814626388941,0.000814124795492788,900.0006,6.79487742873238,-0.0279350920155768,HARPS-B
2456639.6355570997,14.580184991829,0.000767204911348689,899.9998,6.79545133215623,-0.029274524087711005,HARPS-B
2456640.63465589,14.5782877855951,0.0007859950027780379,900.0002,6.797499041046049,-0.0257819052010735,HARPS-B
2456641.6455701,14.5786066534622,0.000700831043111733,900.0008,6.79208569071291,-0.02841926329193,HARPS-B
2456643.65166789,14.577789625855802,0.0009503712711917119,900.0008,6.7923385203677595,-0.0266887606433261,HARPS-B
2456708.50100639,14.5764108750088,0.0008819519407564971,900.0009,6.80083898445155,-0.0255260046213888,HARPS-B
2456709.53102533,14.5794614570243,0.000817480444339781,900.0001,6.79332946325394,-0.0312086839993686,HARPS-B
2456710.52336259,14.5797578184374,0.000886058413998847,900.0016,6.796430215577849,-0.0241706824532528,HARPS-B
2456711.52257518,14.579595036550801,0.000744472768579842,900.002,6.7965021365513,-0.0253339096673564,HARPS-B
2456851.92196097,14.580713053276698,0.0008619880805093161,900.0013,6.80220987264096,-0.0258542837459661,HARPS-B
2456852.89147287,14.5823480041257,0.00115271820641226,900.0,6.79728244710536,-0.0223158944329978,HARPS-B
2456855.89772579,14.5759680030234,0.00114866306360483,900.0011,6.79987219174844,-0.0311663963620887,HARPS-B
2456856.88807326,14.5782855318031,0.0009504907828059519,900.001,6.802858984286571,-0.0282906280953981,HARPS-B
2456904.8198169996,14.5824899124065,0.0009874228738741269,900.0008,6.806529947001519,-0.0266382815100705,HARPS-B
2456906.79539654,14.581233942589998,0.0010044779122266,900.0004,6.80679091493374,-0.0261648120437101,HARPS-B
2456907.8079085,14.578502063831301,0.0008945495594653869,900.0014,6.80622520730197,-0.0263543187950628,HARPS-B
2456960.76410488,14.5749595695982,0.000702606982179555,900.0005,6.79329489036757,-0.029093815768049997,HARPS-B
2456961.72000639,14.5726474561275,0.0006711643621501469,900.0016,6.79514250449697,-0.0306452285787628,HARPS-B
2456963.70679264,14.5721870098279,0.0006744113136476049,900.0017,6.7937690214899895,-0.031036094381971,HARPS-B
2456964.78400733,14.573694615062099,0.000712851493159566,900.0017,6.79613243391562,-0.0271371625732364,HARPS-B
2456965.68627015,14.574251565694,0.000595016110718095,900.0014,6.79711419500774,-0.0272706677680166,HARPS-B
2456966.74612107,14.5756594816471,0.000851882401058204,900.0018,6.794337614312379,-0.0244094236311447,HARPS-B
2457025.57210197,14.5754674724257,0.000913505723816282,900.0013,6.800092977493629,-0.0269243290664907,HARPS-B
2457026.60432097,14.5744521005142,0.000705282400300149,900.0018,6.79934315554542,-0.026553281822089,HARPS-B
2457027.59603363,14.572705816290801,0.000790020471926303,900.0009,6.798936521240639,-0.0260713859211208,HARPS-B
