HIP,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
117367,2455846.65620563,-15.3320125386625,0.000585260695279,900.0053,7.17547316452504,-0.0131464960754286,HARPS-B,113.5
117367,2455850.65164541,-15.3337290042704,0.0004973218716666,900.0059,7.16857886403441,-0.0180419249149111,HARPS-B,134.4
117367,2455851.64625681,-15.3333240093499,0.0004989250369153,900.0059,7.16681084617193,-0.0162277457515518,HARPS-B,134.4
117367,2455852.63970931,-15.3353593248122,0.0006350959669711,900.0058,7.16760543473057,-0.016129670343874,HARPS-B,105.8
117367,2456164.78796642,-15.3281990160423,0.0006563114477492,900.0001,7.17092242002479,-0.0165692384876337,HARPS-B,101.6
117367,2456165.76600513,-15.3289320821758,0.0006848382825722,900.0003,7.16762866711293,-0.0212089991124866,HARPS-B,97.7
117367,2456485.85744057,-15.3390437621946,0.000607655493259,900.0003,7.17660745949216,-0.0162412521189328,HARPS-B,109.4
117367,2456486.83043371,-15.337084652286,0.000528023070958,899.9999,7.17286608243112,-0.0172010021755025,HARPS-B,124.6
117367,2456487.82224738,-15.3397054306415,0.0004812096442482,900.0005,7.175678232283,-0.0168888105138887,HARPS-B,137.0
117367,2456488.86068493,-15.3412798790135,0.0006117769024869,899.9995,7.17482445498062,-0.0208480590502571,HARPS-B,107.8
117367,2456489.83417389,-15.33394767101,0.0005892839671708,900.0006,7.1731510045381,-0.0149852952305736,HARPS-B,111.8
117367,2456490.82848577,-15.3341764255992,0.0005719829109453,900.0006,7.17207357833449,-0.0157232411156976,HARPS-B,115.8
117367,2456558.71109775,-15.3315647542073,0.0005265746298947,900.0009,7.17533748361565,-0.0153422347124579,HARPS-B,126.6
117367,2456559.72571116,-15.3293234099021,0.0005647028622078,899.9998,7.17461979161797,-0.0148859532749874,HARPS-B,118.3
117367,2456560.7175105,-15.3311030556805,0.0004400592852399,900.0011,7.17633032537646,-0.018408857479125,HARPS-B,151.4
117367,2456638.53885779,-15.330738822391,0.0004837387429398,900.001,7.17784036264217,-0.0168137722746291,HARPS-B,139.3
117367,2456639.52491711,-15.3302120581375,0.0005340919005184,900.0014,7.17637304517802,-0.016263823483424,HARPS-B,125.0
117367,2456640.52675009,-15.3287087632087,0.0005683820466891,900.0003,7.17389924657929,-0.0169358700376492,HARPS-B,117.2
117367,2456641.53737828,-15.3295676243586,0.0006212282127293,900.0002,7.17845845945932,-0.0163820789032378,HARPS-B,106.8
117367,2456643.56349478,-15.3301470935029,0.0006580352347271,900.0003,7.17656003209666,-0.0180699468257739,HARPS-B,102.5
117367,2456850.87055561,-15.3303240589789,0.0008182900530927,900.0007,7.17826968843537,-0.0141441772843702,HARPS-B,81.2
117367,2456851.86253203,-15.3303416899624,0.000556515115384,900.0006,7.17714443027466,-0.0164796386500594,HARPS-B,118.4
117367,2456852.84028205,-15.3310875696721,0.0008462659282773,900.0012,7.17669593689762,-0.0175637925857721,HARPS-B,79.3
117367,2456853.91250747,-15.3281680970214,0.0010661738068552,900.0011,7.18088051138285,-0.0180587578338187,HARPS-B,63.3
117367,2456856.85506962,-15.3309178652636,0.0006640325556856,900.0008,7.17552631720553,-0.0198895570125135,HARPS-B,99.4
117367,2456856.90360393,-15.3307110847563,0.0006798160393378,900.001,7.17553694032349,-0.0186203411540902,HARPS-B,97.7
117367,2456904.73469191,-15.3307865807734,0.000556039400902,900.0012,7.17615230861479,-0.0145661338550518,HARPS-B,119.0
117367,2456906.72151538,-15.3312638505349,0.0010084892548202,900.0015,7.17829114788115,-0.0187323891027518,HARPS-B,67.0
117367,2456907.73430598,-15.3317889123711,0.0006979086313092,900.0016,7.17396088419033,-0.0152613221210327,HARPS-B,95.3
117367,2456960.59052103,-15.3319218834536,0.0005084476136831,900.0012,7.18087614138098,-0.0125927242647972,HARPS-B,131.6
117367,2456961.54728993,-15.3298438884644,0.0009618873652691,900.0014,7.18277478468252,-0.0145378345594427,HARPS-B,70.5
117367,2456961.60611723,-15.3308092342054,0.0011022772019778,900.0021,7.18014276200332,-0.0157992519172403,HARPS-B,62.6
117367,2456963.58602415,-15.3320395735142,0.0005430914803911,900.0019,7.17894767609738,-0.017094780233899,HARPS-B,122.9
117367,2456966.57925876,-15.333256889712,0.0005659621359863,900.0016,7.18190753829015,-0.0168085181116453,HARPS-B,118.4
