HIP,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
89650,2457226.67258085,15.3638016398779,0.0009177973074562,899.9983,7.1576446199824,-0.0060418089635412,HARPS-A,78.2
89650,2457227.67492907,15.3650232142386,0.0008489243951532,899.9983,7.15423767715196,-0.0095193731167047,HARPS-A,84.8
89650,2457228.66905886,15.3642236855439,0.0013313432809655,899.9983,7.15126290203853,-0.007265392299411,HARPS-A,55.3
89650,2457229.68217984,15.3644463892712,0.000789236215045,899.9983,7.15519956729635,-0.0088134243862452,HARPS-A,91.6
89650,2457230.67035855,15.3647531449477,0.0007288496549057,899.9983,7.15870869556292,-0.0082914832442071,HARPS-A,100.1
89650,2457232.64011578,15.3604208778564,0.0018810532800837,899.9983,7.15696633277534,-0.0065128610203579,HARPS-A,42.0
89650,2457283.5347588,15.3620262205796,0.0015425266610859,899.9983,7.15136214682043,-0.0048071037832446,HARPS-A,48.4
89650,2457284.56110328,15.3655205180844,0.0010874134148919,899.9983,7.16048036784411,-0.0071152838491581,HARPS-A,66.7
89650,2457587.69125081,15.3624134315824,0.0011550316035493,899.9983,7.16333235479089,-0.0123978691060653,HARPS-A,62.9
89650,2457664.54320229,15.3662279256505,0.0008726959413451,899.9983,7.15816352029577,-0.0112758318355652,HARPS-A,82.4
89650,2457665.51980526,15.3649835264595,0.000854101183298,899.9983,7.15936733295843,-0.0069811049079664,HARPS-A,84.4
89650,2457809.88483567,15.3623396979256,0.0009327399223566,899.9982,7.15690549968426,-0.0108198749107569,HARPS-A,79.2
89650,2458048.5158767,15.3634323067452,0.0006515530133217,1199.9982,7.16048516223987,-0.0063916674393027,HARPS-A,106.1
