HIP,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
118115,2457226.84795026,-31.0968512615586,0.0005735276720392,899.9984,7.05530633248149,-0.0050258598090984,HARPS-A,118.0
118115,2457227.86071546,-31.0978592795978,0.0004607812532045,899.9984,7.05963603714593,-0.0048782223497454,HARPS-A,145.4
118115,2457228.83514338,-31.1006405825158,0.0005522500903438,899.9984,7.05517435205304,-0.0084453400372019,HARPS-A,121.7
118115,2457229.84905256,-31.0976764314637,0.0007124849340136,899.9983,7.05564791432311,-0.0095230728317332,HARPS-A,97.0
118115,2457230.82920816,-31.098337184913,0.0004550193002299,899.9983,7.05390317013488,-0.0083560778328397,HARPS-A,147.8
118115,2457232.81187919,-31.100655921742,0.0009123100000122,899.9983,7.05735494077815,-0.0111884860192504,HARPS-A,75.5
118115,2457282.82326961,-31.1033227363799,0.0007454127406105,899.9983,7.05307322952484,-0.0048515707493272,HARPS-A,89.5
118115,2457283.73027241,-31.1018556820275,0.0004666166148694,899.9983,7.05580700699971,-0.006979243909214,HARPS-A,142.8
118115,2457587.85495379,-31.0983396624537,0.0006840306136129,899.9983,7.05243049423638,-0.0023514692935009,HARPS-A,99.9
118115,2457588.87142679,-31.0995997529621,0.0006533153357578,899.9983,7.0536292372452,-0.0058695538782771,HARPS-A,104.6
118115,2457664.79709634,-31.1003252713399,0.0006811709210684,899.9983,7.05603444360858,-0.00406935602604,HARPS-A,98.4
118115,2457764.53407495,-31.1005608515766,0.0004841767431029,899.9982,7.05372684525808,-0.0095986604822933,HARPS-A,136.9
118115,2458047.5909395,-31.1031223746734,0.0006371767167806,899.9982,7.0532677736796,-0.0054935449221709,HARPS-A,104.8
