time,mnvel,errvel,tel,svalue
2452948.86205994,72481.19469741211,0.700341606403,HARPS-B,nodata
2452989.72721065,72486.5528772915,0.6019868304136,HARPS-B,nodata
2453053.57172334,72490.51022596279,0.7169253417703,HARPS-B,nodata
2453064.58152616,72492.18952471431,0.4855378881858,HARPS-B,nodata
2453296.87671238,72478.19631589511,0.8661072523271001,HARPS-B,nodata
2453296.87777726,72480.08969531501,0.8692030372893,HARPS-B,nodata
2453296.87881899,72482.9561065127,0.8170916014404,HARPS-B,nodata
2453296.87986072,72485.2865807007,0.8388411183911999,HARPS-B,nodata
2453296.88094875,72484.8975445307,0.8251209877105,HARPS-B,nodata
2453296.88200206,72483.7640504908,0.8003537935641001,HARPS-B,nodata
2453296.88306694,72480.6613052013,0.8317497609707,HARPS-B,nodata
2453296.88412024,72479.94008986009,0.8119592490369001,HARPS-B,nodata
2453296.88518513,72481.64136146179,0.8161627212203,HARPS-B,nodata
2453296.88623843,72480.5097270219,0.8515656771904,HARPS-B,nodata
2453490.48045036,72479.9469451623,0.28706544041259996,HARPS-B,nodata
2453490.48563524,72482.0101260543,0.3122935053534,HARPS-B,nodata
2453491.46786992,72485.25675481411,0.2976024317573,HARPS-B,nodata
2453491.47315896,72482.0761649028,0.3302925068661,HARPS-B,nodata
2453512.4588727,72484.4457254828,0.5741624448197,HARPS-B,nodata
2453512.46078234,72486.98778151901,0.5977483849521,HARPS-B,nodata
2453512.46276141,72484.1341145892,0.596973894809,HARPS-B,nodata
2453512.46465947,72481.6193937535,0.5874589782519,HARPS-B,nodata
2453512.4666154,72482.9873256172,0.6108816377689,HARPS-B,nodata
2453517.46456472,72483.9221591581,0.3685291427839,HARPS-B,nodata
2453517.46965709,72486.7529981201,0.3826912899642,HARPS-B,nodata
2453518.45382853,72482.1280846368,0.30865668454129996,HARPS-B,nodata
2453520.45309833,72485.445629192,0.28362520856030005,HARPS-B,nodata
2453520.45853792,72485.32404357,0.2835399295311,HARPS-B,nodata
2453608.88339423,72486.8518916961,0.33033341670419997,HARPS-B,nodata
2453608.88720226,72488.5693232938,0.3338844609405,HARPS-B,nodata
2453608.890964,72486.6666939621,0.3642542115958,HARPS-B,nodata
2453764.70663317,72485.9517533199,0.2080024547281,HARPS-B,nodata
2453764.71218861,72486.2090530534,0.20691778760569998,HARPS-B,nodata
2453782.64795419,72482.6812777664,0.3163973801974,HARPS-B,nodata
2453782.65281511,72482.0135959615,0.3116745329161,HARPS-B,nodata
2453834.54179627,72481.6240816866,0.24051871533980002,HARPS-B,nodata
2453834.54668022,72483.71208210691,0.25603111705849996,HARPS-B,nodata
2454080.77075634,72484.4326741122,0.3837728053154,HARPS-B,nodata
2454080.77528195,72485.1710074363,0.37291890280170004,HARPS-B,nodata
2454117.68468222,72490.82935343741,0.34590159043290003,HARPS-B,nodata
2454117.68879099,72484.8706542092,0.3389121539031,HARPS-B,nodata
2454117.69281873,72490.81701369479,0.3451642247068,HARPS-B,nodata
