bjd,rv,rverr,exptime,fwhm,bis,contrast,tel
2457226.8634136003,6.70114375686713,0.000374789808722483,899.9983,6.950591476796499,-0.0168821825793657,45.1338485094409,HARPS-A
2457227.87415591,6.70099961770992,0.000343644108983246,899.9983,6.948921257458121,-0.0155913758630932,45.1409368052435,HARPS-A
2457228.84748863,6.6976383129709,0.000301504056630598,899.9983,6.94765428677339,-0.0161336853594731,45.158158058135996,HARPS-A
2457229.863021,6.69700822340196,0.000343182073263678,899.9983,6.94688713901479,-0.0173986076535027,45.17012231842789,HARPS-A
2457230.85460491,6.6948334471103,0.000327889645980507,899.9984,6.94495638902415,-0.0158798387785124,45.1938671395825,HARPS-A
2457232.83962198,6.69622628295956,0.000727794785934063,899.9983,6.93979311777598,-0.0178627828762599,45.2148263379109,HARPS-A
2457283.74336758,6.698944547557139,0.000379181058617536,899.9983,6.9469253874963295,-0.0178023195616932,45.1526335040015,HARPS-A
2457336.7153167003,6.702208744174889,0.0005891634864420809,899.9983,6.945894403602231,-0.0193443255214598,45.150715819944494,HARPS-A
2457338.70595789,6.7034186358932,0.000642105017528841,899.9983,6.946400580381759,-0.0203271224388342,45.1621733850996,HARPS-A
2457339.67690449,6.70185244557798,0.000502663248564006,899.9983,6.9503998930263196,-0.0152675026820415,45.138745646016396,HARPS-A
2457340.65044325,6.69970267450763,0.000366918527911863,899.9983,6.9477205626305,-0.0167686017336539,45.160932159583595,HARPS-A
2457341.71469363,6.7011364905712805,0.000474280313722621,899.9983,6.94944604333991,-0.0200815323276542,45.137395802940006,HARPS-A
2457360.70979492,6.69729549903371,0.000545875451501521,899.9983,6.946476299477769,-0.016476561536404,45.1633553445286,HARPS-A
2457361.70461531,6.69607866305729,0.000440926108576584,899.9983,6.94431617317672,-0.0160006710818719,45.171345425535606,HARPS-A
2457362.70881022,6.69843993998911,0.0003665347772654,899.9983,6.94672610344393,-0.0198027306618433,45.1709603726693,HARPS-A
2457587.88102651,6.7032804314011205,0.000414640911932485,899.9983,6.95188796091611,-0.0182969398763122,45.0737387692828,HARPS-A
2457588.89913383,6.703181062868019,0.0005376164393079089,899.9983,6.9548032577236,-0.0168348772287619,45.05620868340179,HARPS-A
2457664.81952885,6.698925363824401,0.000413046844641613,899.9983,6.95072824522727,-0.0152223203901745,45.1485708828032,HARPS-A
2457763.54873613,6.69922883885617,0.000326821927274329,899.9982,6.95157658486202,-0.015122157061926001,45.0919927799924,HARPS-A
2458045.64653868,6.69506538993313,0.000413294567920628,899.9982,6.9835180069156095,-0.0188225910247937,45.184833684874896,HARPS-A
2458046.57729073,6.6967842300216605,0.00036159621145994905,899.9982,6.95149063913666,-0.0174610424047215,45.13482345120621,HARPS-A
