bjd,rv,rverr,exptime,fwhm,bis,contrast,tel
2452942.66441727,6.67974551125077,0.000400639816226321,899.996,6.90544276974513,-0.0324436480945423,45.39614803651279,HARPS-B
2453229.83753878,6.684181796927709,0.000427753407230663,899.9953,6.92022002920658,-0.0338683083807547,45.339526650900495,HARPS-B
2454051.59561357,6.6829774723246596,0.000405352913142794,622.7993,6.91893955145815,-0.0304813445838867,45.18683361199471,HARPS-B
2454053.60583547,6.681541763497419,0.00033045411205676,749.9992,6.918940792679,-0.0276900643650473,45.1827144872422,HARPS-B
2454388.72843361,6.6832742556926705,0.000482628499672715,899.9969,6.92252108257362,-0.0260027328514569,45.15895690486361,HARPS-B
2454391.66203246,6.681917453562031,0.0019050617222288603,899.9978,6.91340431178556,-0.0398855759088681,45.1469592060046,HARPS-B
2455820.75436919,6.68351317470883,0.000339291209108898,900.0054,6.92780751798854,-0.0289169514307268,45.133385501090004,HARPS-B
2455824.75359971,6.68611497658149,0.000555755973355871,900.006,6.93506775685915,-0.0308683863837311,45.0915236462723,HARPS-B
2455831.69251991,6.6828082670255196,0.00032466465840386204,900.0055,6.928521867727739,-0.0292255528842622,45.158313608433296,HARPS-B
2455846.68099736,6.686334498678111,0.00048229319504990896,900.0054,6.92341676817529,-0.0301751603402236,45.272873334276106,HARPS-B
2455846.70849615,6.68655963752503,0.000528704814985687,900.0052,6.92603916679999,-0.0306073795893482,45.257208666508795,HARPS-B
2455850.674797,6.68222338651447,0.00042411241984613196,900.0059,6.92337050238041,-0.0282096455577614,45.3173805699027,HARPS-B
2455851.66848827,6.6817893146845595,0.000366650365149969,900.0059,6.918525456857821,-0.0295480546562965,45.349811267563105,HARPS-B
2455852.66179689,6.68271063993049,0.00048309867520185,900.0057,6.9232425713294194,-0.0311064830301211,45.3265195871103,HARPS-B
2455875.65062176,6.67934407056458,0.000428629204212456,900.0053,6.9260280389082896,-0.029678278091156002,45.1780309523069,HARPS-B
2455879.70717621,6.68181697688665,0.000972371096490589,900.0051,6.937043818516691,-0.0305033880026633,45.1566581799893,HARPS-B
2455893.60121934,6.688194421691639,0.00035664157799892004,899.9998,6.9363764558713905,-0.0250953701264498,45.104772897408296,HARPS-B
2455898.62447173,6.683502102762491,0.000423958525228434,899.9995,6.93034790543419,-0.0272457220907683,45.15005787648211,HARPS-B
2455902.58613912,6.682366010618369,0.000463365248248202,900.0054,6.929901901258369,-0.0307986831761315,45.1444984932641,HARPS-B
2456087.92423674,6.69268825099499,0.000697425881968448,900.0002,6.945425376344731,-0.0250239592475507,44.9638233120658,HARPS-B
2456152.79401484,6.68556157886514,0.00055541567309303,900.0004,6.942667413257349,-0.029941467838169998,45.0486595518441,HARPS-B
2456157.91550492,6.689648703634,0.000812526480878002,900.0002,6.95142264178091,-0.0296809386743773,45.0425617631553,HARPS-B
2456164.81119866,6.6907906038808,0.000546387097377851,900.0002,6.94425960555498,-0.0235903966207118,45.20966577672439,HARPS-B
2456165.78902508,6.6890267964818095,0.000515529689285741,900.0003,6.94163996505636,-0.0237777588377694,45.21185242616939,HARPS-B
2456200.67683986,6.68373242216745,0.000435395536979091,900.0,6.94581980974502,-0.0244425371390298,45.0154697749891,HARPS-B
2456205.71735076,6.691777762390161,0.000412903314837309,900.0066,6.938100619708099,-0.0281166775226547,45.0263028704684,HARPS-B
2456208.72317964,6.689577033875071,0.000604729714804725,900.0002,6.9481761942455496,-0.0245559830926139,44.980739088361595,HARPS-B
2456298.53798441,6.67651828768363,0.0006409737855141071,900.0007,6.938553131627059,-0.0290620355205347,45.227947195001896,HARPS-B
2456299.52140812,6.67875517154721,0.000499061898786487,900.001,6.936286514046941,-0.0288291873706692,45.17583877866429,HARPS-B
2456469.85480301,6.68358822065014,0.000464597520604321,900.0012,6.94055062618863,-0.0313049784247346,45.089271850321,HARPS-B
2456485.88258624,6.6747469095571,0.000399340861762609,900.0004,6.926474023034719,-0.0314703019091773,45.300040158109205,HARPS-B
2456486.84350857,6.67702721607115,0.00037973660479941404,900.0003,6.9328870099135305,-0.0306647182258954,45.261919317122604,HARPS-B
2456487.83592461,6.67705378150858,0.000361776632621193,900.0002,6.932125811023361,-0.0291060313116107,45.250016737514294,HARPS-B
2456488.87605026,6.67624101335499,0.000464793473057792,900.0002,6.935892102803071,-0.0301431283090361,45.231314431887796,HARPS-B
2456489.82187715,6.683395058283581,0.000445438583990586,900.0006,6.93389678348858,-0.0277657950828623,45.2229223483691,HARPS-B
2456490.84123643,6.6832702817102,0.00042916270790984,900.0009,6.93153152803139,-0.0274652143307783,45.24332972140161,HARPS-B
2456512.89336179,6.68390697679005,0.00092002924184559,900.0012,6.941009751073951,-0.0293626907205606,45.1634439097855,HARPS-B
2456516.85450132,6.68222509783825,0.000718151233379763,900.0017,6.937945308796519,-0.0298539223825012,45.133036170036895,HARPS-B
2456557.72618158,6.6823657328665,0.000960158672319055,900.0011,6.94165343925641,-0.0302210335475754,45.1970748673049,HARPS-B
2456558.73320332,6.683156166525481,0.000370385864739439,900.0006,6.92938500952075,-0.0270895103337123,45.2570569136319,HARPS-B
2456559.75239965,6.68401765423047,0.000406157711981327,899.9941,6.927547331310509,-0.0308140091715217,45.2780159196095,HARPS-B
2456560.73951256,6.6814834196673605,0.00043280502845041604,900.0016,6.925925733223231,-0.0296624417878411,45.2841740578671,HARPS-B
2456580.63398243,6.68566605946361,0.000651665006395663,450.0011,6.9384775389727995,-0.0300147671111795,45.1070652787424,HARPS-B
2456594.63910519,6.687911992569769,0.000564315240481257,900.0007,6.94720839486862,-0.0321912640483237,45.08556904927521,HARPS-B
2456600.57416868,6.67973342474818,0.000453831985107528,900.0013,6.93723308959542,-0.0296089915897122,45.133931210583604,HARPS-B
2456637.57735279,6.68694427185474,0.000416033059449014,900.0021,6.931525266857151,-0.0310399585478462,45.252508409152604,HARPS-B
2456638.60973019,6.68522555936678,0.000376916167479748,900.0008,6.9343313768655594,-0.028540690393676002,45.233970652679304,HARPS-B
2456639.58188015,6.68587449776659,0.000405943316457311,900.0001,6.932531475339579,-0.0275023592954469,45.2366882651205,HARPS-B
2456640.59471076,6.68696988517864,0.000502901056327911,900.0,6.932640983164281,-0.0269696167563938,45.2378336832523,HARPS-B
2456641.60505341,6.686757373053861,0.00051094705609353,900.0,6.930934250158121,-0.029648463905863,45.2309503785966,HARPS-B
2456643.59243163,6.68810990685107,0.00047369631892343894,900.001,6.93240642943306,-0.028095707310543,45.2438360310153,HARPS-B
2456850.85737128,6.6844348886447404,0.000659136066508633,900.0012,6.93281259180595,-0.0287941503708344,45.269138876389206,HARPS-B
2456850.91802215,6.68413220493672,0.000649827249155965,900.0014,6.93076936426896,-0.030139225148659,45.2797610197086,HARPS-B
2456851.88834318,6.683165022768099,0.000377661129044952,900.0012,6.927688841680981,-0.0298708363424449,45.293574778638494,HARPS-B
2456852.85472815,6.68107131883711,0.000608165330604201,900.0014,6.926868232738889,-0.0286933292102143,45.3076673342119,HARPS-B
2456853.93659189,6.684881184825339,0.000914661198181825,900.0013,6.9346798058991395,-0.0290796753467122,45.284878367049,HARPS-B
2456854.93277984,6.685263419408409,0.000465834481984905,900.0003,6.926874584987731,-0.0328101603365489,45.296034928537395,HARPS-B
2456855.85491304,6.680510812328549,0.000529122073717762,900.0013,6.924031037518691,-0.031143383150404,45.3172939031971,HARPS-B
2456856.86765108,6.68469531362254,0.00047467782184905995,900.0006,6.92564100178658,-0.0326300648476492,45.312331723065604,HARPS-B
2456904.74574125,6.6817603103427805,0.000496065285755297,900.0012,6.92565254097409,-0.0320012946268511,45.31732422265571,HARPS-B
2456906.73299336,6.68371830744018,0.000726744648399134,900.0018,6.92993396600001,-0.0292801955005375,45.2986822660666,HARPS-B
2456907.74727735,6.68235474062797,0.00050329009984397,900.0012,6.92394220703347,-0.0319168378206305,45.3065707006577,HARPS-B
2456960.68776927,6.6833103953788795,0.000413052787829859,900.001,6.932912010776629,-0.0294619012103992,45.3054134466685,HARPS-B
2456961.6174735,6.68211834520092,0.000630184332672142,900.0004,6.928624545578799,-0.0295103413031237,45.30660269908171,HARPS-B
2456963.60711614,6.683451453200741,0.000401092993370236,900.0017,6.92765941501359,-0.0311788917210123,45.3157015290889,HARPS-B
2456965.60846911,6.6812298344436805,0.000356418406667211,900.0008,6.92566489581997,-0.0292869172591699,45.3261372537479,HARPS-B
2456966.65918245,6.682782059701871,0.000525593578008544,900.0011,6.931374335966001,-0.0313212986832934,45.29839023837479,HARPS-B
